question_id,producer,method,faithfulness,accuracy,completeness,clarity,safety_flag,weighted,reason,judge_model,prompt_tokens,completion_tokens,cost_usd,ts
sgh-su-001-q054,ft-local-small,finetuned,1,1,2,5,True,1.6,"The document explicitly states patients are requested to bring a complete list of current medications, including herbal preparations and dietary supplements, contradicting the answer's 'No.'",claude-sonnet-5,3145,105,0.005505,2026-07-14T19:00:30+00:00
sgh-pi-001-q027,prompt-qwen3.5-9b,prompting,1,1,2,4,False,1.5,"The document states the fee is LKR 500 per request, but the answer invents a different figure (Rs. 100 per page), contradicting the source.",claude-sonnet-5,3136,92,0.005394,2026-07-14T19:00:30+00:00
sgh-opd-001-q059,prompt-qwen3.5-9b,prompting,1,1,3,4,False,1.7,"The document states the follow-up fee is 50% of the applicable consultation fee (not a flat Rs. 1,500), and the fabricated GP/Specialist fees (Rs. 2,500/3,500) contradict the document's actual figures of 1,500 and 3,000-7,000 LKR.",claude-sonnet-5,3414,145,0.0062085,2026-07-14T19:00:30+00:00
sgh-fin-001-q027,prompt-qwen3.5-9b,prompting,1,1,1,4,False,1.3,"The document explicitly states payment plan terms (50% deposit at discharge, balance payable within 60 days at no interest, for bills over LKR 100,000) which the answer denies exist, and it invents unsupported contact details like a phone number and email not found in the source.",claude-sonnet-5,3795,135,0.006705,2026-07-14T19:00:30+00:00
sgh-opd-001-q012,rag-llama3.1-8b,rag,5,3,1,5,False,3.6,"The document clearly lists Orthopaedics OPD hours as Mon to Sat, 8:00 am to 4:00 pm, but the answer falsely claims this information is unavailable, leaving the question unanswered.",claude-sonnet-5,3257,122,0.0058005,2026-07-14T19:00:30+00:00
sgh-er-001-q015,prompt-qwen3.5-9b,prompting,3,3,4,5,False,3.4,"The document confirms OPD as the correct alternative for non-urgent concerns but also mentions the Nurse Advice Line at Ext. 1199, which the answer omits, and it invents unsupported details about OPD location ('main entrance', 'outpatient wings') not found in the document.",claude-sonnet-5,3243,139,0.005907,2026-07-14T19:00:30+00:00
sgh-faq-003-q016,prompt-gemini,prompting,2,2,3,4,True,2.4,"The document only names warfarin, aspirin, insulin, antidiabetic agents, and unspecified antihypertensives as examples, with no specific stop-timing instructions; the candidate invents a 'Pre-Admission Clinic (PAC)' (not mentioned, the actual process uses the pre-anaesthesia assessment team) and fabricates specific drug names and precise discontinuation timeframes (e.g., '5 days', '24 to 48 hours') that are not in the source, which could mislead a patient into following incorrect pre-operative medication timing.",claude-sonnet-5,4161,234,0.0079965,2026-07-14T19:00:30+00:00
sgh-opd-001-q010,prompt-llama3.1-8b,prompting,1,1,1,4,False,1.3,"The document states the estimated waiting time for booked Cardiology appointments is 30 to 60 minutes, but the answer fabricates a 2-3 hour wait and invents unrelated 'urgent/non-urgent' policy figures not present in the source.",claude-sonnet-5,3419,133,0.006126,2026-07-14T19:00:30+00:00
sgh-faq-003-q007,ft-local-large,finetuned,1,1,2,4,False,1.5,"The document states one responsible adult must accompany the patient on the day of surgery and remain on hospital premises until discharge from recovery, and must be available to transport the patient home for day-case procedures; the answer instead fabricates claims about theatre presence and 'time of admission to the ward' which are not in the document.",claude-sonnet-5,3702,144,0.006633,2026-07-14T19:00:30+00:00
sgh-su-001-q052,prompt-llama3.1-8b,prompting,1,1,2,5,True,1.6,"The document states patients scheduled for general anaesthesia must be nil by mouth from midnight the evening before surgery, but the answer fabricates specific 8-hour/6-hour fasting windows not found anywhere in the source, which could mislead patients about pre-operative preparation.",claude-sonnet-5,3320,137,0.0060075,2026-07-14T19:00:30+00:00
sgh-lab-001-q045,rag-gpt,rag,5,5,5,5,False,5.0,"The document states patients may collect printed results 'upon presentation of their NIC or hospital registration card,' which matches the candidate answer exactly.",claude-sonnet-5,3216,93,0.0055215,2026-07-14T19:00:30+00:00
sgh-pi-001-q024,ft-local-small,finetuned,2,1,3,4,False,2.1,"The document says Arabic/Mandarin translation may be arranged with 24 hours' notice, but says nothing about additional charges, which the answer invents while omitting the notice requirement.",claude-sonnet-5,3023,106,0.0053295,2026-07-14T19:00:30+00:00
sgh-su-001-q049,prompt-gemini,prompting,1,1,2,4,False,1.5,"The document states only ward accommodation, pre-operative investigations, post-operative medication, and physiotherapy are billed separately, and that surgeon's fee, anaesthetist's fee, theatre charges and standard consumables are included in the estimate; the answer contradicts this by claiming surgeon and anaesthetist fees are billed separately and invents unsupported categories like implants, prostheses, specialized medications, and consumables not mentioned in the source.",claude-sonnet-5,3600,194,0.006855,2026-07-14T19:00:30+00:00
sgh-faq-005-q015,ft-llama3.1-8b,finetuned,1,1,2,5,False,1.6,"The document states home collection is Monday to Saturday 6:00 am to 10:00 am, booking via 0112-456-770 at least one day prior, but the answer fabricates entirely different hours, phone number, and notice period.",claude-sonnet-5,3609,119,0.006306,2026-07-14T19:00:30+00:00
sgh-ip-001-q007,prompt-gemini,prompting,2,2,3,5,False,2.5,"The document only lists shared bathroom, standard meals, and nursing call bell as inclusions for the General Ward, but the answer invents many unsupported specifics (bedside locker, curtain, AC, resident doctors, meal customization) and gives an incorrect visitor number (document allows two visitors, not one).",claude-sonnet-5,3361,148,0.0061515,2026-07-14T19:00:30+00:00
sgh-faq-004-q008,prompt-gemini,prompting,2,2,3,5,False,2.5,"The document states meals are served at 7:30am, 12:30pm, and 6:30pm and lists diabetic, low-sodium, low-fat, vegetarian, vegan, halal, and soft/pureed diets communicated to the ward nurse, but the answer invents meal times, tea service, Kosher, strict Buddhist/Hindu vegetarian, gluten-free, lactose-free, nut-free options, and daily dietitian visits not mentioned in the source, and omits the Premium Suite extended menu and outside-food restriction.",claude-sonnet-5,3909,224,0.0075435,2026-07-14T19:00:30+00:00
sgh-ip-001-q028,ft-local-large,finetuned,1,1,3,5,False,1.8,"The document states up to three visitors are permitted in Private Rooms and Premium Suites, not two, which is the limit for General Wards.",claude-sonnet-5,3046,90,0.005244,2026-07-14T19:00:30+00:00
sgh-opd-001-q059,rag-gpt,rag,5,5,5,5,False,5.0,"The document states the Follow-up fee is exactly '50% of applicable consultation fee', which the answer reproduces verbatim and accurately.",claude-sonnet-5,3291,97,0.005664,2026-07-14T19:00:30+00:00
sgh-lab-001-q051,prompt-gpt,prompting,2,2,3,4,False,2.4,"The document states Radiology hours are Mon-Sat 7am-8pm, Sunday 8am-2pm, with 24-hour emergency imaging via on-call radiographer, but the answer falsely claims the department itself operates 24/7 and omits the distinct Sunday hours entirely.",claude-sonnet-5,3349,143,0.006096,2026-07-14T19:00:30+00:00
sgh-ph-001-q019,ft-local-small,finetuned,1,1,2,5,True,1.6,"The document states Schedule I substances include opioid analgesics and benzodiazepines, but the answer fabricates an unrelated definition referencing a fictitious 'National Council on Drugs' and 'Drug Control Act 2013' not mentioned anywhere in the source.",claude-sonnet-5,2906,140,0.005409,2026-07-14T19:00:30+00:00
sgh-lab-001-q010,ft-local-medium,finetuned,1,1,2,5,False,1.6,"The document states Serology turnaround is 3 to 5 hours, but the answer fabricates a figure of 12 hours which contradicts the source.",claude-sonnet-5,3184,94,0.005481,2026-07-14T19:00:30+00:00
sgh-ip-001-q013,rag-gpt,rag,5,3,1,5,False,3.6,"The document explicitly lists Premium Suite inclusions (attached bathroom with bathtub, kitchenette, sofa bed, premium meal menu, Wi-Fi, dedicated nurse) at a 150,000 LKR deposit, but the answer incorrectly claims this information is absent.",claude-sonnet-5,3066,149,0.0057165,2026-07-14T19:00:30+00:00
sgh-ip-001-q028,prompt-llama3.1-8b,prompting,1,1,3,5,False,1.8,"The document states up to three visitors are permitted in Private Rooms and Premium Suites, but the answer incorrectly states a maximum of 2.",claude-sonnet-5,3105,94,0.0053625,2026-07-14T19:00:30+00:00
sgh-lab-001-q017,ft-local-medium,finetuned,1,1,2,3,False,1.4,"The document states COVID-19 PCR is 'SARS-CoV-2, nasopharyngeal swab' with a 6 to 8 hour turnaround, but the answer fabricates entirely different test types, methods, and turnaround times not present in the source.",claude-sonnet-5,3266,134,0.005904,2026-07-14T19:00:30+00:00
sgh-faq-006-q010,ft-local-large,finetuned,1,1,2,4,False,1.5,"The document gives no phone number 0112-234-567 or email address and instead directs patients to the Billing Desk at Block B Ground Floor, with straightforward queries resolved same day and clinically complex ones within 24 hours, and the answer invents contact details not present in the source.",claude-sonnet-5,4062,135,0.0071055,2026-07-14T19:00:30+00:00
sgh-lab-001-q017,ft-llama3.1-8b,finetuned,1,1,2,5,False,1.6,"The document lists only 'SARS-CoV-2, nasopharyngeal swab' under COVID-19 PCR, but the answer invents a nonexistent 'COVID-19 antigen' test not mentioned in the source.",claude-sonnet-5,3195,121,0.0057,2026-07-14T19:00:30+00:00
sgh-fin-001-q017,prompt-gpt,prompting,2,2,3,5,False,2.5,"The document states online payment is available via the Patient Portal for deposit payments and outstanding balances only, but the answer invents a 'website' and 'Online Payments section' and omits the restriction on what it covers.",claude-sonnet-5,3503,113,0.006102,2026-07-14T19:00:30+00:00
sgh-er-001-q014,ft-local-large,finetuned,1,1,2,5,True,1.6,"The document states fever above 39°C with altered mental state or stiff neck warrants immediate AEC attendance, not simply 38.5°C or higher, and the answer omits the accompanying neurological criteria entirely.",claude-sonnet-5,3098,117,0.0055245,2026-07-14T19:00:30+00:00
sgh-fin-001-q027,ft-llama3.1-8b,finetuned,2,1,3,5,False,2.2,"The document states the 50% deposit is due at discharge (not admission), the balance is interest-free (not 12% after 90 days), and the interest rate/90-day clause is entirely invented and unsupported by the source.",claude-sonnet-5,3482,115,0.0060855,2026-07-14T19:00:30+00:00
sgh-er-001-q002,ft-local-large,finetuned,1,1,1,1,True,1.0,"The document lists specific conditions (chest pain, stroke symptoms, severe bleeding, seizures, anaphylaxis, major trauma, fever with altered mental state, poisoning, acute abdominal pain), but the answer invents unlisted conditions (myocardial infarction, pulmonary oedema, asthma, pancreatitis, renal failure, head injury) and degenerates into a nonsensical repeating loop of 'acute chest pain, acute chest tightness' dozens of times, making it unusable and potentially misleading for triage decisions.",claude-sonnet-5,3599,233,0.007146,2026-07-14T19:00:30+00:00
sgh-fin-001-q014,prompt-llama3.1-8b,prompting,1,1,2,5,False,1.6,"The document states cash is accepted at 'all cashier desks,' but the candidate invents specific locations (Ground Floor Main Building cash counter, Ward Reception, Billing Department near OPD) and an ID/receipt requirement, none of which appear in the source.",claude-sonnet-5,3568,133,0.0063495,2026-07-14T19:00:30+00:00
sgh-opd-001-q059,ft-local-medium,finetuned,1,1,2,5,False,1.6,"The document states the follow-up fee is 50% of the applicable consultation fee (which varies by category), not a flat LKR 1,500, so the answer misstates the actual policy and ignores the variable base fee.",claude-sonnet-5,3248,118,0.005757,2026-07-14T19:00:30+00:00
sgh-ph-001-q023,prompt-qwen3.5-9b,prompting,2,2,3,4,False,2.4,"The document only states that controlled medications and items requiring cold-chain storage are ineligible for delivery; the answer correctly includes these but fabricates additional unsupported categories (hazardous materials, non-pharmaceutical goods, prescription status requirements) not mentioned in the source.",claude-sonnet-5,3212,139,0.0058605,2026-07-14T19:00:30+00:00
sgh-ip-001-q005,prompt-llama3.1-8b,prompting,1,1,2,4,False,1.5,"The document specifies no visiting-hours window, allows up to two visitors in General Wards and three in Private Rooms/Suites, and permits children under 12 in Private Rooms/Suites with parental supervision, whereas the answer invents an 8am-8pm visiting window and states children under 12 are not allowed unless necessary, contradicting the source.",claude-sonnet-5,3211,160,0.0060165,2026-07-14T19:00:30+00:00
sgh-fin-001-q030,rag-llama3.1-8b,rag,5,5,5,5,False,5.0,"The answer directly and accurately reproduces the document's statement that patients settle the bill directly and submit reimbursement claims, with the hospital providing itemised bill, investigation reports, consultant letters, and discharge summary.",claude-sonnet-5,3523,119,0.006177,2026-07-14T19:00:30+00:00
sgh-su-001-q048,prompt-gpt,prompting,2,2,3,5,False,2.5,"The document states costs include only surgeon's fee, anaesthetist's fee, theatre charges, and standard consumables, and explicitly excludes ward accommodation and pre-operative investigations, but the answer wrongly claims investigations, room charges, and nursing care are included, directly contradicting the source.",claude-sonnet-5,3364,145,0.0061335,2026-07-14T19:00:30+00:00
sgh-er-001-q017,ft-llama3.1-8b,finetuned,1,1,3,5,False,1.8,"The document states the paediatric bay entrance is marked with a blue floor line, not a blue curtain, so the candidate answer contradicts the source.",claude-sonnet-5,3095,94,0.0053475,2026-07-14T19:00:30+00:00
sgh-lab-001-q007,ft-local-medium,finetuned,1,1,2,5,False,1.6,"The document lists Hormone Profile examples as TSH, T3, T4, cortisol, testosterone, and oestrogen, but the answer fabricates a different list (Free T3, Free T4, Total T3, Total T4, Anti-TPO Antibody, Anti-Tg Antibody) not found in the source.",claude-sonnet-5,3236,151,0.0059865,2026-07-14T19:00:30+00:00
sgh-pi-001-q008,ft-llama3.1-8b,finetuned,1,1,2,5,False,1.6,"The document says to contact Patient Services Desk at extension 1100 (not phone number 0112-456-789, which is the appointment hotline) and states internal second opinions are facilitated at no additional consultation fee, directly contradicting the candidate's invented claims about fees and quotes.",claude-sonnet-5,3151,138,0.0057615,2026-07-14T19:00:30+00:00
sgh-faq-002-q017,prompt-llama3.1-8b,prompting,1,1,2,5,False,1.6,"The document states the confirmation SMS is sent within 15 minutes of booking, not '24 hours prior to the appointment,' which is a fabricated and contradictory claim.",claude-sonnet-5,3511,107,0.006069,2026-07-14T19:00:30+00:00
sgh-faq-002-q017,prompt-gpt,prompting,2,1,3,5,False,2.2,"The document explicitly states the confirmation SMS is sent within 15 minutes, but the candidate invents a vague 'few minutes' claim and a fabricated 30-minute follow-up threshold not found in the source.",claude-sonnet-5,3548,117,0.0061995,2026-07-14T19:00:30+00:00
sgh-su-001-q052,prompt-gemini,prompting,1,1,3,5,True,1.8,"The document simply states patients under general anaesthesia must be 'nil by mouth from midnight the evening before surgery,' but the answer fabricates a detailed 6-hour/2-hour fasting protocol not found anywhere in the source, which could mislead a patient about actual pre-operative preparation timing.",claude-sonnet-5,3447,146,0.0062655,2026-07-14T19:00:30+00:00
sgh-faq-002-q002,prompt-gpt,prompting,2,2,3,5,False,2.5,"The document defines channelling narrowly as booking a specific doctor with a numbered queue slot and SMS alerts, but the answer invents a generic multi-step booking process, an unmentioned 'channelling counter,' and omits the document's specific detail about queue numbers on screen and SMS alerts when three patients remain.",claude-sonnet-5,3770,154,0.00681,2026-07-14T19:00:30+00:00
sgh-lab-001-q030,prompt-qwen3.5-9b,prompting,2,2,3,5,False,2.5,"The document simply states 'No preparation required' for Echocardiogram, but the candidate invents specific details (clothing advice, skin prep, pacemaker/pregnancy questions, TEE fasting requirements) that are not present anywhere in the source document.",claude-sonnet-5,3454,129,0.0061485,2026-07-14T19:00:30+00:00
sgh-faq-002-q011,prompt-gemini,prompting,2,2,3,5,False,2.5,"The document states same-day appointments are available for General Medicine and Paediatrics on most days (specialists not guaranteed) and to call early morning, but the candidate invents a phone number placeholder, an OPD walk-in clinic hours of 8am-8pm (not stated), and omits the specific General Medicine/Paediatrics detail, fabricating unsupported specifics.",claude-sonnet-5,3704,172,0.006846,2026-07-14T19:00:30+00:00
sgh-fin-001-q002,rag-gpt,rag,4,4,5,5,False,4.3,"The answer correctly lists the itemisation categories from the document, though it adds unsupported embellishments like 'at the applicable ward rate' and 'per ward round' that are not explicitly stated in the source.",claude-sonnet-5,3583,117,0.006252,2026-07-14T19:00:30+00:00
sgh-faq-005-q015,prompt-qwen3.5-9b,prompting,1,1,3,5,False,1.8,"The document states hours are Monday–Saturday 6:00–10:00 am with booking by calling 0112-456-770 at least one day prior, but the answer fabricates 8:00 AM–12:00 PM hours, invents booking methods (website, attending physician) and an eligibility requirement not mentioned anywhere in the source.",claude-sonnet-5,3758,154,0.006792,2026-07-14T19:00:30+00:00
sgh-faq-005-q003,prompt-qwen3.5-9b,prompting,2,1,3,5,False,2.2,"The document states home collection is via a specific number 0112-456-770, available in Colombo District Mon–Sat 6–10am, but the answer invents a different phone number (011-269 1111) and omits the actual coverage area, days, and hours entirely.",claude-sonnet-5,3695,127,0.006495,2026-07-14T19:00:30+00:00
sgh-er-001-q015,ft-llama3.1-8b,finetuned,2,2,3,5,False,2.5,"The document only advises non-urgent patients to attend OPD or call the Nurse Advice Line at Ext. 1199, without mentioning any 'OPD Registration Desk, Ground Floor, Block A,' which is fabricated detail not found in the source.",claude-sonnet-5,3111,131,0.005649,2026-07-14T19:00:30+00:00
sgh-faq-002-q009,prompt-llama3.1-8b,prompting,1,1,2,4,False,1.5,"The document states walk-in is accepted at all OPD departments subject to session availability, with walk-ins seen after channelled patients, but the answer fabricates a policy about ED 24/7 walk-in and 'preferred appointments' for other departments that is not in the document at all.",claude-sonnet-5,3553,138,0.0063645,2026-07-14T19:00:30+00:00
sgh-lab-001-q010,prompt-gemini,prompting,2,1,3,5,False,2.2,"The document states Serology turnaround is 3 to 5 hours, not 4 to 6 hours as claimed, and the added notes about STAT processing and helpdesk are not supported by the document.",claude-sonnet-5,3292,109,0.0057555,2026-07-14T19:00:30+00:00
sgh-ip-001-q015,prompt-qwen3.5-9b,prompting,1,1,2,3,False,1.4,"The document states ICU/HDU deposit is 100,000 LKR with 'essential items only; restricted visiting,' but the answer fabricates extensive clinical details (ventilators, dialysis, dietitians, etc.) not present in the source and never mentions the deposit amount or actual stated inclusions.",claude-sonnet-5,3572,147,0.0064605,2026-07-14T19:00:30+00:00
sgh-lab-001-q007,prompt-qwen3.5-9b,prompting,1,1,2,4,False,1.5,"The document lists Hormone Profile examples as TSH, T3, T4, cortisol, testosterone, and oestrogen, but the answer invents an extensive list including LH, FSH, progesterone, prolactin, ACTH, GH, DHEA-S, PTH, and Vitamin D that are not in the document.",claude-sonnet-5,3497,155,0.006408,2026-07-14T19:00:30+00:00
sgh-ip-001-q014,rag-llama3.1-8b,rag,4,5,5,5,False,4.6,"The deposit figure of LKR 100,000 for ICU/HDU matches the document exactly, but the citation 'SGH-FAQ-006' is fabricated since the actual doc_id is 'SGH-IP-001'.",claude-sonnet-5,3083,122,0.0055395,2026-07-14T19:00:30+00:00
sgh-faq-002-q009,rag-gpt,rag,5,5,3,5,False,4.6,"The answer accurately quotes the document but omits the peak-hour wait time detail and the recommendation to channel in advance for specialist consultations, so it is only partially complete.",claude-sonnet-5,3482,106,0.006018,2026-07-14T19:00:30+00:00
sgh-su-001-q052,rag-llama3.1-8b,rag,5,5,5,5,False,5.0,"The document states patients scheduled for general anaesthesia are to remain nil by mouth from midnight, which the answer accurately and completely reproduces.",claude-sonnet-5,3187,95,0.005493,2026-07-14T19:00:30+00:00
sgh-su-001-q055,ft-local-small,finetuned,1,1,1,3,False,1.2,"The document instructs patients to request a formal quotation from the Surgical Admissions Desk for unlisted procedures, but the answer fabricates a nonexistent 'International Association of Surgical Prostheses' and a 'pricing department' not mentioned anywhere in the source.",claude-sonnet-5,3196,137,0.0058215,2026-07-14T19:00:30+00:00
sgh-faq-003-q008,rag-llama3.1-8b,rag,5,5,5,5,False,5.0,The answer directly and accurately reproduces the document's definition and examples of day-case surgery from the 'What is day-case surgery?' section.,claude-sonnet-5,3758,92,0.006327,2026-07-14T19:00:30+00:00
sgh-fin-001-q022,prompt-gpt,prompting,2,2,3,5,False,2.5,"The document states the Insurance Desk is reachable at Ext. 1200, not located at 'the main reception area' as the answer invents, and it omits the correct extension number entirely.",claude-sonnet-5,3532,104,0.006078,2026-07-14T19:00:30+00:00
sgh-opd-001-q041,ft-local-large,finetuned,1,1,1,5,False,1.4,"The document states Oncology clinic is held on Tuesday and Thursday, 10:00 am to 2:00 pm, not Monday to Friday as claimed.",claude-sonnet-5,3234,104,0.005631,2026-07-14T19:00:30+00:00
sgh-pi-001-q031,rag-llama3.1-8b,rag,1,1,1,5,True,1.4,"The document explicitly states 'Guide dogs are permitted on hospital premises,' but the answer falsely claims this information is absent, which could mislead a visually impaired patient into leaving their guide dog behind or being turned away.",claude-sonnet-5,3039,124,0.0054885,2026-07-14T19:00:30+00:00
